d,k,dataset,type,recall,precision,f-score,,,k, f-score (test),f-score(train)
300,5000,as,train,0.644,0.683,0.663,,,5000,0.685,0.692
300,5000,as,test,0.649,0.653,0.651,,,2000,0.683,0.688
300,5000,cityu,train,0.714,0.721,0.718,,,1500,0.68,0.684
300,5000,cityu,test,0.681,0.661,0.671,,,1000,0.667,0.669
300,5000,msr,train,0.692,0.675,0.683,,,500,0.604,0.602
300,5000,msr,test,0.724,0.692,0.707,,,100,0.427,0.431
300,5000,pku,train,0.697,0.707,0.702,,,50,0.389,0.392
300,5000,pku,test,0.712,0.706,0.709,,,10,0.408,0.407
300,2000,as,train,0.639,0.678,0.658,,,,,
300,2000,as,test,0.644,0.65,0.647,,,,,
300,2000,cityu,train,0.71,0.718,0.714,,,,,
300,2000,cityu,test,0.679,0.663,0.671,,,,,
300,2000,msr,train,0.689,0.671,0.68,,,,,
300,2000,msr,test,0.722,0.691,0.706,,,,,
300,2000,pku,train,0.695,0.705,0.7,,,,,
300,2000,pku,test,0.709,0.704,0.707,,,,,
300,1500,as,train,0.633,0.672,0.652,,,,,
300,1500,as,test,0.639,0.648,0.644,,,,,
300,1500,cityu,train,0.706,0.714,0.71,,,,,
300,1500,cityu,test,0.676,0.663,0.67,,,,,
300,1500,msr,train,0.685,0.667,0.676,,,,,
300,1500,msr,test,0.718,0.689,0.703,,,,,
300,1500,pku,train,0.691,0.701,0.696,,,,,
300,1500,pku,test,0.706,0.702,0.704,,,,,
300,1000,as,train,0.606,0.643,0.624,,,,,
300,1000,as,test,0.614,0.624,0.619,,,,,
300,1000,cityu,train,0.693,0.701,0.697,,,,,
300,1000,cityu,test,0.665,0.656,0.661,,,,,
300,1000,msr,train,0.675,0.657,0.666,,,,,
300,1000,msr,test,0.709,0.681,0.694,,,,,
300,1000,pku,train,0.682,0.691,0.687,,,,,
300,1000,pku,test,0.695,0.694,0.695,,,,,
300,500,as,train,0.535,0.56,0.547,,,,,
300,500,as,test,0.541,0.543,0.542,,,,,
300,500,cityu,train,0.627,0.632,0.629,,,,,
300,500,cityu,test,0.603,0.598,0.601,,,,,
300,500,msr,train,0.601,0.583,0.592,,,,,
300,500,msr,test,0.636,0.612,0.624,,,,,
300,500,pku,train,0.637,0.645,0.641,,,,,
300,500,pku,test,0.649,0.651,0.65,,,,,
300,100,as,train,0.379,0.394,0.386,,,,,
300,100,as,test,0.375,0.372,0.373,,,,,
300,100,cityu,train,0.485,0.493,0.489,,,,,
300,100,cityu,test,0.473,0.476,0.475,,,,,
300,100,msr,train,0.397,0.374,0.385,,,,,
300,100,msr,test,0.412,0.382,0.396,,,,,
300,100,pku,train,0.46,0.465,0.462,,,,,
300,100,pku,test,0.462,0.465,0.463,,,,,
300,50,as,train,0.387,0.402,0.395,,,,,
300,50,as,test,0.384,0.381,0.383,,,,,
300,50,cityu,train,0.422,0.421,0.421,,,,,
300,50,cityu,test,0.421,0.419,0.42,,,,,
300,50,msr,train,0.368,0.351,0.359,,,,,
300,50,msr,test,0.38,0.354,0.367,,,,,
300,50,pku,train,0.394,0.39,0.392,,,,,
300,50,pku,test,0.39,0.383,0.386,,,,,
300,10,as,train,0.402,0.435,0.418,,,,,
300,10,as,test,0.399,0.413,0.406,,,,,
300,10,cityu,train,0.412,0.418,0.415,,,,,
300,10,cityu,test,0.41,0.417,0.413,,,,,
300,10,msr,train,0.395,0.402,0.398,,,,,
300,10,msr,test,0.413,0.415,0.414,,,,,
300,10,pku,train,0.393,0.399,0.396,,,,,
300,10,pku,test,0.398,0.398,0.398,,,,,